2022-12-11 14:59:00.433 [main] INFO  me.wydryszek.vehicles.Main - Opcja musi być cyfrą 1-6

2022-12-11 14:59:03.872 [main] INFO  me.wydryszek.vehicles.Main - Podaj poprawną opcje

2022-12-11 14:59:06.642 [main] INFO  me.wydryszek.vehicles.Main - Pojazd CAR producent BMW jest najszybszy(maksymalna prędkość to 300)
2022-12-11 14:59:07.993 [main] INFO  me.wydryszek.vehicles.Main - Pojazd SHIP producent K Shipbuilding jest najszybszy(maksymalna prędkość to 50)
2022-12-11 14:59:08.741 [main] INFO  me.wydryszek.vehicles.Main - Pojazd PLANE producent Airbus jest najszybszy(maksymalna prędkość to 1000)
2022-12-11 14:59:09.434 [main] INFO  me.wydryszek.vehicles.Main - Pojazd BICYCLE producent Trek jest najszybszy(maksymalna prędkość to 30)
2022-12-11 14:59:10.109 [main] INFO  me.wydryszek.vehicles.Main - Pojazd CAR producent BMW jest najszybszy(maksymalna prędkość to 300)
2022-12-11 14:59:10.110 [main] INFO  me.wydryszek.vehicles.Main - Pojazd SHIP producent K Shipbuilding jest najszybszy(maksymalna prędkość to 50)
2022-12-11 14:59:10.110 [main] INFO  me.wydryszek.vehicles.Main - Pojazd PLANE producent Airbus jest najszybszy(maksymalna prędkość to 1000)
2022-12-11 14:59:10.110 [main] INFO  me.wydryszek.vehicles.Main - Pojazd BICYCLE producent Trek jest najszybszy(maksymalna prędkość to 30)
